TransactionAmount,TransactionDate,TransactionType,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Binned,CustomerAge_Binned,TransactionAmount_Encoded,CustomerAge_Encoded,Target
-0.9705457776964133,2023-04-11 16:29:14,Debit,San Diego,162.198.218.92,ATM,1.4198617381496486,Doctor,-0.5483933775337999,-0.2046294076264745,-0.0003151297671230473,2024-11-04 08:08:08,,Young,1,0,0
0.2689630980830924,2023-06-27 16:44:19,Debit,Houston,13.149.61.4,ATM,1.307715254857371,Doctor,0.3079597138762569,-0.2046294076264745,2.2183807457903577,2024-11-04 08:09:35,Low,Young,0,0,1
-0.5865256317280008,2023-07-10 18:16:08,Debit,Mesa,215.97.143.157,Online,-1.439873585803431,Student,-0.9052071656213235,-0.2046294076264745,-1.0240913595486316,2024-11-04 08:07:04,,,1,1,2
-0.3872937895103424,2023-05-05 16:32:11,Debit,Raleigh,200.13.225.150,Online,-1.0473608942804593,Student,-1.347656262849853,-0.2046294076264745,0.8866936524759148,2024-11-04 08:09:06,,,1,1,1
-0.7033745424531488,2023-04-03 17:15:01,Debit,Oklahoma City,117.67.192.211,ATM,-1.4959468274495697,Student,0.7504088111047863,-0.2046294076264745,-1.111505416232241,2024-11-04 08:06:36,,,1,1,2
-0.9945384802208211,2023-02-15 16:36:48,Credit,Seattle,140.212.253.222,ATM,-0.4305552361729324,Doctor,0.27941461082925506,-0.2046294076264745,2.1049146470276483,2024-11-04 08:10:09,,,1,1,1
-0.43206191347885253,2023-05-08 17:47:59,Credit,Indianapolis,92.214.76.157,Branch,1.251642013211232,Retired,2.448842442401399,-0.2046294076264745,-0.5945803508242731,2024-11-04 08:10:55,,Young,1,0,0
-0.6551837790375048,2023-03-21 16:59:46,Credit,Detroit,24.148.92.177,Branch,0.35447014687301104,Engineer,-0.47703061991629514,-0.2046294076264745,1.0216828999591487,2024-11-04 08:11:14,,Young,1,0,1
1.773966115776767,2023-03-31 16:06:57,Debit,Nashville,32.169.88.41,ATM,0.5787631134575663,Doctor,0.008236131882737053,-0.2046294076264745,-1.049871411431692,2024-11-04 08:06:32,Low,Young,0,0,0
-0.9579162381364895,2023-03-14 16:46:10,Credit,Albuquerque,213.15.9.253,Online,0.41054338851914984,Engineer,-0.8623895110508207,-0.2046294076264745,0.6379149971290198,2024-11-04 08:06:45,,Young,1,0,0
-0.36840081976216377,2023-02-06 17:30:00,Debit,Memphis,116.175.11.222,Online,-1.3277271025111534,Student,0.7646813626282872,-0.2046294076264745,-0.9197959490938808,2024-11-04 08:07:12,,,1,1,2
0.6737928918900782,2023-06-07 17:21:28,Credit,Mesa,210.98.198.143,Branch,-1.159507377572737,Student,-0.12021683182877146,-0.2046294076264745,-0.8963919625082934,2024-11-04 08:08:38,Low,,0,1,2
1.6569118466847907,2023-11-20 16:39:15,Debit,Memphis,193.83.0.183,ATM,-1.0473608942804593,Student,0.051053786453239894,-0.2046294076264745,-1.2634068088295642,2024-11-04 08:07:06,Low,,0,1,2
-0.4472242062296552,2023-02-13 16:53:57,Debit,Louisville,188.124.181.12,Online,-1.4959468274495697,Student,0.20805185321175032,-0.2046294076264745,-1.235119828441502,2024-11-04 08:10:09,,,1,1,2
0.5742967631618986,2023-12-12 16:23:31,Debit,Denver,221.169.49.152,ATM,-0.4866284778190712,Engineer,0.13668909559424558,-0.2046294076264745,-0.4228416355328183,2024-11-04 08:12:19,Low,,0,1,2
0.8835322372104373,2023-10-30 16:52:49,Credit,Austin,53.218.177.171,Branch,-1.439873585803431,Student,0.550593089775773,-0.2046294076264745,-1.021805102334756,2024-11-04 08:07:35,Low,,0,1,2
0.6683508951691355,2023-12-14 18:32:14,Debit,Columbus,114.223.129.47,Online,-0.31840875288065473,Engineer,1.635307005561845,-0.2046294076264745,-0.0008899015021489268,2024-11-04 08:11:51,Low,,0,1,2
-0.954835862634069,2023-02-21 16:56:50,Credit,Albuquerque,93.218.115.132,Branch,0.8030560800421215,Retired,-0.1915795894462762,-0.2046294076264745,0.7274279970235721,2024-11-04 08:12:01,,Young,1,0,0
-0.7741204998254043,2023-06-08 18:18:50,Credit,Columbus,120.170.93.69,Online,-1.4959468274495697,Student,0.7075911565342834,-0.2046294076264745,0.37338400391906984,2024-11-04 08:09:20,,,1,1,2
-0.8157397955025515,2023-02-28 16:36:58,Debit,Los Angeles,116.44.12.250,Branch,1.4759349797957872,Retired,-1.1621130930443406,-0.2046294076264745,0.16356666118214688,2024-11-04 08:09:24,,Young,1,0,0
-0.7252109821258625,2023-08-11 18:31:31,Debit,Las Vegas,59.132.247.252,Branch,-0.37448199452679354,Doctor,-0.3771227592517885,-0.2046294076264745,1.0347820504382,2024-11-04 08:08:13,,,1,1,1
-0.8401089883661441,2023-06-06 18:54:15,Debit,Atlanta,133.63.96.21,Online,-0.31840875288065473,Engineer,0.008236131882737053,-0.2046294076264745,0.9908376721611724,2024-11-04 08:07:01,,,1,1,1
-0.5206398223706753,2023-03-02 16:43:56,Debit,Raleigh,119.186.154.104,Online,-1.3277271025111534,Student,-0.33430510468128566,-0.2046294076264745,-0.8166064610400058,2024-11-04 08:07:09,,,1,1,2
-0.9931351980474963,2023-10-20 17:53:13,Credit,Houston,81.248.235.147,Online,1.1394955299189544,Retired,2.234754169548885,-0.2046294076264745,-0.37944380359311447,2024-11-04 08:09:44,,Young,1,0,0
-0.8807699449980937,2023-03-29 16:42:38,Debit,Milwaukee,21.28.32.1,Branch,-0.4305552361729324,Engineer,-0.34857765620478665,-0.2046294076264745,-0.6227339020595613,2024-11-04 08:11:59,,,1,1,2
-0.5825553699693257,2023-01-24 16:18:32,Debit,Las Vegas,152.234.65.155,Online,-0.03804254464996068,Doctor,1.10722259919231,-0.2046294076264745,-0.8573793309934081,2024-11-04 08:11:22,,,1,1,2
-0.8265211097610229,2023-09-20 16:55:42,Debit,Detroit,33.28.138.82,Branch,-0.9912876526343205,Student,2.3346620302133916,-0.2046294076264745,-0.9652439712848602,2024-11-04 08:08:30,,,1,1,2
-0.9218758447581705,2023-07-17 17:49:22,Credit,Miami,35.67.21.23,Online,0.8030560800421215,Doctor,-1.4190190204673576,-0.2046294076264745,0.8264991429581763,2024-11-04 08:09:17,,Young,1,0,0
-0.8164243233919781,2023-02-06 16:24:24,Debit,Baltimore,187.199.178.27,ATM,-0.8791411693420429,Doctor,1.9635756906023667,-0.2046294076264745,1.2086120111048604,2024-11-04 08:06:58,,,1,1,1
1.985656365581992,2023-03-13 17:23:24,Debit,Los Angeles,134.140.85.231,Online,-1.2716538608650145,Student,0.4364126775877655,-0.2046294076264745,-1.2096990088928328,2024-11-04 08:07:50,Low,,0,1,2
-0.14510782223115476,2023-10-27 16:42:49,Credit,San Francisco,92.214.76.157,Branch,0.018030696996178132,Doctor,-0.9908424747623292,-0.2046294076264745,2.4895908944747385,2024-11-04 08:10:51,,Young,1,0,1
-0.5917622700821156,2023-10-16 16:32:56,Debit,Seattle,59.145.242.13,Branch,0.24232366358073337,Engineer,-1.0622052323798339,-0.2046294076264745,0.16711536345688288,2024-11-04 08:06:23,,Young,1,0,0
-0.7513599475019647,2023-11-21 16:58:44,Debit,Milwaukee,33.28.138.82,Branch,-1.0473608942804593,Student,0.3650499199702607,-0.2046294076264745,-1.080988629425708,2024-11-04 08:12:18,,,1,1,2
0.12996971013498876,2023-01-24 17:17:20,Debit,Oklahoma City,49.20.211.229,Online,0.5787631134575663,Retired,1.378401078138828,-0.2046294076264745,-1.0505103317978595,2024-11-04 08:07:32,Low,Young,0,0,0
0.10546361169351084,2023-07-31 18:39:50,Debit,San Antonio,6.234.101.35,ATM,1.0273490466266768,Retired,-0.006036419640763895,-0.2046294076264745,-0.20265274211297196,2024-11-04 08:07:31,Low,Young,0,0,0
-0.9023325735150366,2023-01-09 16:13:21,Debit,Philadelphia,109.105.179.186,Online,-0.37448199452679354,Doctor,-1.4332915719908585,-0.2046294076264745,2.3352775133465027,2024-11-04 08:11:45,,,1,1,1
-0.19247715217948655,2023-04-20 18:57:43,Credit,Charlotte,60.89.202.192,Online,0.6909095967498439,Doctor,-0.04885407421126674,-0.2046294076264745,2.1152579723128695,2024-11-04 08:09:03,,Young,1,0,1
-0.8294303532910866,2023-04-12 16:03:37,Debit,Tucson,173.135.78.201,ATM,-1.439873585803431,Student,-0.03458152268776579,-0.2046294076264745,-1.2500382340997198,2024-11-04 08:08:03,,,1,1,2
0.022772642650758162,2023-07-26 16:52:28,Debit,Louisville,77.208.193.198,Branch,-0.9912876526343205,Student,-1.2334758506618453,-0.2046294076264745,-1.0891996542117928,2024-11-04 08:09:53,Low,,0,1,2
0.4710015046474005,2023-10-04 17:49:29,Debit,Chicago,197.162.55.147,Branch,1.6441547047342038,Retired,-0.41994041382229136,-0.2046294076264745,-0.11294216443450432,2024-11-04 08:11:12,Low,Young,0,0,0
-0.4557808048474897,2023-12-13 16:01:38,Debit,Baltimore,113.115.81.178,Branch,-1.0473608942804593,Student,-0.6340286866748056,-0.2046294076264745,-0.9248098061038839,2024-11-04 08:10:33,,,1,1,2
0.7275967839990216,2023-10-09 16:29:40,Debit,Oklahoma City,186.135.2.148,Online,-1.439873585803431,Student,-0.20585214096977716,-0.2046294076264745,-1.1115002843417499,2024-11-04 08:11:35,Low,,0,1,2
1.1268819019016505,2023-11-27 16:45:57,Debit,Denver,93.146.251.20,Online,-1.0473608942804593,Student,0.2651420593057541,-0.2046294076264745,-1.2439518119770345,2024-11-04 08:07:24,Low,,0,1,2
-0.9434384732751135,2023-03-27 16:45:18,Credit,Sacramento,124.6.134.78,Online,-0.20626226958837712,Engineer,0.7932264656752891,-0.2046294076264745,-0.9695034403926416,2024-11-04 08:06:31,,,1,1,2
0.43701469493736184,2023-02-13 16:59:39,Credit,Kansas City,139.23.212.102,Online,1.3637884965035096,Retired,0.022508683406238,-0.2046294076264745,-0.30942685567502204,2024-11-04 08:07:07,Low,Young,0,0,0
-0.7263746795378879,2023-06-07 16:45:34,Debit,Virginia Beach,194.174.252.1,Branch,1.251642013211232,Doctor,0.3650499199702607,-0.2046294076264745,2.5124355049967737,2024-11-04 08:06:45,,Young,1,0,1
-0.4386333812173494,2023-09-07 16:51:27,Debit,San Diego,42.219.228.159,Branch,-0.9352144109881817,Student,0.32223226539975786,-0.2046294076264745,-1.0763006474619026,2024-11-04 08:08:58,,,1,1,2
-0.660660002152919,2023-03-29 17:47:16,Debit,Omaha,186.135.2.148,ATM,0.971275804980538,Retired,-0.41994041382229136,-0.2046294076264745,-0.1631063939869911,2024-11-04 08:10:42,,Young,1,0,0
0.06603480526252935,2023-08-04 17:53:40,Debit,Mesa,81.102.230.41,Branch,-1.1034341359265982,Student,-0.5198482744867979,-0.2046294076264745,-0.9723413758343322,2024-11-04 08:09:15,Low,,0,1,2
-0.8115641753770483,2023-12-14 17:52:37,Credit,Columbus,1.198.76.182,Branch,0.6909095967498439,Retired,-0.9622973717153274,-0.2046294076264745,-0.40503654147324253,2024-11-04 08:09:57,,Young,1,0,0
