TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_Binned,CustomerAge_Binned,TransactionAmount_Encoded,CustomerAge_Encoded,Target
-0.9705457776964133,Debit,San Diego,ATM,1.4198617381496486,Doctor,-0.5483933775337999,-0.2046294076264745,-0.0003151297671230473,,Young,1,0,3
0.2689630980830924,Debit,Houston,ATM,1.307715254857371,Doctor,0.3079597138762569,-0.2046294076264745,2.2183807457903577,Low,Young,0,0,0
-0.5865256317280008,Debit,Mesa,Online,-1.439873585803431,Student,-0.9052071656213235,-0.2046294076264745,-1.0240913595486316,,,1,1,1
-0.3872937895103424,Debit,Raleigh,Online,-1.0473608942804593,Student,-1.347656262849853,-0.2046294076264745,0.8866936524759148,,,1,1,0
-0.7033745424531488,Debit,Oklahoma City,ATM,-1.4959468274495697,Student,0.7504088111047863,-0.2046294076264745,-1.111505416232241,,,1,1,1
-0.9945384802208211,Credit,Seattle,ATM,-0.4305552361729324,Doctor,0.27941461082925506,-0.2046294076264745,2.1049146470276483,,,1,1,0
-0.43206191347885253,Credit,Indianapolis,Branch,1.251642013211232,Retired,2.448842442401399,-0.2046294076264745,-0.5945803508242731,,Young,1,0,2
-0.6551837790375048,Credit,Detroit,Branch,0.35447014687301104,Engineer,-0.47703061991629514,-0.2046294076264745,1.0216828999591487,,Young,1,0,0
1.773966115776767,Debit,Nashville,ATM,0.5787631134575663,Doctor,0.008236131882737053,-0.2046294076264745,-1.049871411431692,Low,Young,0,0,3
-0.9579162381364895,Credit,Albuquerque,Online,0.41054338851914984,Engineer,-0.8623895110508207,-0.2046294076264745,0.6379149971290198,,Young,1,0,3
-0.36840081976216377,Debit,Memphis,Online,-1.3277271025111534,Student,0.7646813626282872,-0.2046294076264745,-0.9197959490938808,,,1,1,1
0.6737928918900782,Credit,Mesa,Branch,-1.159507377572737,Student,-0.12021683182877146,-0.2046294076264745,-0.8963919625082934,Low,,0,1,1
1.6569118466847907,Debit,Memphis,ATM,-1.0473608942804593,Student,0.051053786453239894,-0.2046294076264745,-1.2634068088295642,Low,,0,1,1
-0.4472242062296552,Debit,Louisville,Online,-1.4959468274495697,Student,0.20805185321175032,-0.2046294076264745,-1.235119828441502,,,1,1,1
0.5742967631618986,Debit,Denver,ATM,-0.4866284778190712,Engineer,0.13668909559424558,-0.2046294076264745,-0.4228416355328183,Low,,0,1,1
0.8835322372104373,Credit,Austin,Branch,-1.439873585803431,Student,0.550593089775773,-0.2046294076264745,-1.021805102334756,Low,,0,1,1
0.6683508951691355,Debit,Columbus,Online,-0.31840875288065473,Engineer,1.635307005561845,-0.2046294076264745,-0.0008899015021489268,Low,,0,1,2
-0.954835862634069,Credit,Albuquerque,Branch,0.8030560800421215,Retired,-0.1915795894462762,-0.2046294076264745,0.7274279970235721,,Young,1,0,3
-0.7741204998254043,Credit,Columbus,Online,-1.4959468274495697,Student,0.7075911565342834,-0.2046294076264745,0.37338400391906984,,,1,1,1
-0.8157397955025515,Debit,Los Angeles,Branch,1.4759349797957872,Retired,-1.1621130930443406,-0.2046294076264745,0.16356666118214688,,Young,1,0,3
-0.7252109821258625,Debit,Las Vegas,Branch,-0.37448199452679354,Doctor,-0.3771227592517885,-0.2046294076264745,1.0347820504382,,,1,1,0
-0.8401089883661441,Debit,Atlanta,Online,-0.31840875288065473,Engineer,0.008236131882737053,-0.2046294076264745,0.9908376721611724,,,1,1,0
-0.5206398223706753,Debit,Raleigh,Online,-1.3277271025111534,Student,-0.33430510468128566,-0.2046294076264745,-0.8166064610400058,,,1,1,1
-0.9931351980474963,Credit,Houston,Online,1.1394955299189544,Retired,2.234754169548885,-0.2046294076264745,-0.37944380359311447,,Young,1,0,2
-0.8807699449980937,Debit,Milwaukee,Branch,-0.4305552361729324,Engineer,-0.34857765620478665,-0.2046294076264745,-0.6227339020595613,,,1,1,1
-0.5825553699693257,Debit,Las Vegas,Online,-0.03804254464996068,Doctor,1.10722259919231,-0.2046294076264745,-0.8573793309934081,,,1,1,2
-0.8265211097610229,Debit,Detroit,Branch,-0.9912876526343205,Student,2.3346620302133916,-0.2046294076264745,-0.9652439712848602,,,1,1,2
-0.9218758447581705,Credit,Miami,Online,0.8030560800421215,Doctor,-1.4190190204673576,-0.2046294076264745,0.8264991429581763,,Young,1,0,3
-0.8164243233919781,Debit,Baltimore,ATM,-0.8791411693420429,Doctor,1.9635756906023667,-0.2046294076264745,1.2086120111048604,,,1,1,2
1.985656365581992,Debit,Los Angeles,Online,-1.2716538608650145,Student,0.4364126775877655,-0.2046294076264745,-1.2096990088928328,Low,,0,1,1
-0.14510782223115476,Credit,San Francisco,Branch,0.018030696996178132,Doctor,-0.9908424747623292,-0.2046294076264745,2.4895908944747385,,Young,1,0,0
-0.5917622700821156,Debit,Seattle,Branch,0.24232366358073337,Engineer,-1.0622052323798339,-0.2046294076264745,0.16711536345688288,,Young,1,0,3
-0.7513599475019647,Debit,Milwaukee,Branch,-1.0473608942804593,Student,0.3650499199702607,-0.2046294076264745,-1.080988629425708,,,1,1,1
0.12996971013498876,Debit,Oklahoma City,Online,0.5787631134575663,Retired,1.378401078138828,-0.2046294076264745,-1.0505103317978595,Low,Young,0,0,2
